player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
FRANCO ALAN,5461.0,1701.1,2136.9,1067.6,421.0,134.3,80.0,35.0,31.4,2022-11-29,21.0,MF,Ecuador,True,46.0,46.0,90.0
CAICEDO MOISES,10495.2,3461.3,4910.7,1563.8,477.5,81.9,122.0,35.0,28.5,2022-11-29,23.0,MF,Ecuador,True,67.0,67.0,90.0
CIFUENTES JOSE,5285.9,1745.4,2451.6,636.9,392.2,59.7,61.0,23.0,30.2,2022-11-29,5.0,MF,Ecuador,False,46.0,44.0,90.0
SARMIENTO JEREMY,5252.6,1844.2,2248.6,684.4,325.1,150.2,62.0,27.0,32.0,2022-11-29,16.0,MF,Ecuador,False,46.0,44.0,90.0
REASCO DJORKAEFF,3343.2,1066.5,1538.2,451.0,243.0,44.1,44.0,17.0,27.7,2022-11-29,20.0,DF,Ecuador,False,64.0,26.0,90.0
POROZO JACKSON,1329.8,416.0,607.3,206.9,75.4,24.2,18.0,5.0,27.0,2022-11-29,24.0,DF,Ecuador,False,0.0,0.0,90.0
PICKFORD JORDAN,5069.2,3571.8,1315.0,144.0,38.5,0.0,17.0,4.0,24.0,2022-12-10,1.0,GK,England,True,0.0,90.0,90.0
WALKER KYLE,9632.1,4279.5,3428.1,1123.1,483.5,317.9,106.0,49.0,32.0,2022-12-10,2.0,DF,England,True,0.0,90.0,90.0
SHAW LUKE,10758.4,4193.6,4349.6,1196.3,699.3,321.7,110.0,48.0,34.5,2022-12-10,3.0,DF,England,True,0.0,90.0,90.0
RICE DECLAN,11635.1,3844.2,5474.3,1372.9,837.7,105.9,128.0,50.0,30.8,2022-12-10,4.0,MF,England,True,0.0,90.0,90.0
STONES JOHN,9752.5,3737.2,3830.8,1536.0,581.2,67.3,134.0,38.0,29.1,2022-12-10,5.0,DF,England,True,0.0,90.0,90.0
MAGUIRE HARRY,9723.5,4074.2,3981.8,1167.8,411.3,88.5,106.0,31.0,29.8,2022-12-10,6.0,DF,England,True,0.0,90.0,90.0
HENDERSON JORDAN,9532.9,3472.8,3394.7,1485.2,748.3,432.8,136.0,53.0,32.7,2022-12-10,8.0,MF,England,True,79.0,79.0,90.0
KANE HARRY,10473.9,4067.0,4876.6,886.1,528.9,115.2,83.0,38.0,30.0,2022-12-10,9.0,FW,England,True,54.0,54.0,90.0
SAKA BUKAYO,8606.5,3152.6,3070.8,1351.2,783.2,249.6,115.0,58.0,33.1,2022-12-10,17.0,FW,England,True,79.0,79.0,90.0
FODEN PHIL,10104.8,3358.9,4246.1,1533.9,700.3,265.8,144.0,61.0,32.8,2022-12-10,20.0,FW,England,True,85.0,85.0,90.0
BELLINGHAM JUDE,11787.4,3965.3,4369.6,1834.1,1295.4,323.0,167.0,87.0,31.4,2022-12-10,22.0,MF,England,True,0.0,90.0,90.0
GREALISH JACK,303.7,72.7,82.3,114.6,13.6,20.5,5.0,1.0,30.1,2022-12-10,7.0,FW,England,False,90.0,0.0,90.0
STERLING RAHEEM,2017.5,779.6,687.0,292.3,209.8,48.8,26.0,17.0,27.8,2022-12-10,10.0,FW,England,False,79.0,11.0,90.0
RASHFORD MARCUS,1442.4,596.9,569.8,149.7,72.4,53.7,14.0,7.0,31.1,2022-12-10,11.0,FW,England,False,85.0,5.0,90.0
MOUNT MASON,1941.6,702.7,757.4,321.9,95.3,64.3,25.0,11.0,27.9,2022-12-10,19.0,MF,England,False,79.0,11.0,90.0
LLORIS HUGO,5005.2,3925.1,972.0,69.1,39.0,0.0,9.0,4.0,24.5,2022-12-10,1.0,GK,France,True,0.0,90.0,90.0
VARANE RAPHAEL,9435.0,4355.2,4007.0,839.7,193.4,40.6,76.0,17.0,30.8,2022-12-10,4.0,DF,France,True,0.0,90.0,90.0
KOUNDE JULES,10930.7,3578.7,5065.3,1427.6,707.2,151.9,136.0,56.0,30.7,2022-12-10,5.0,DF,France,True,0.0,90.0,90.0
GRIEZMANN ANTOINE,11344.9,4528.9,4005.9,1947.9,671.6,190.6,156.0,52.0,32.1,2022-12-10,7.0,FW,France,True,17.0,17.0,90.0
TCHOUAMENI AURELIEN,11384.5,4002.8,4663.1,1903.5,759.3,55.8,156.0,58.0,29.6,2022-12-10,8.0,MF,France,True,0.0,90.0,90.0
GIROUD OLIVIER,10224.6,4163.4,3819.9,1292.4,794.4,154.4,126.0,58.0,29.6,2022-12-10,9.0,FW,France,True,78.0,78.0,90.0
