player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,position,total_playing_time
DARI ACHRAF,19988.7,7964.900000000001,8863.2,1808.3,983.6999999999999,368.8,184.0,87.0,33.9,DF,200.0
DAVID JONATHAN,25664.9,7106.4,11727.6,4183.700000000001,1967.1,681.8,356.0,142.0,31.6,DF,192.0
DAVIES ALPHONSO,32280.6,11533.5,12860.0,4140.9,2189.3,1554.8,377.0,187.0,35.6,FW,270.0
DAVIES BEN,27238.699999999997,9276.2,12788.0,3591.7000000000003,1242.6999999999998,341.6,306.0,88.0,30.5,DF,194.0
DE BRUYNE KEVIN,33206.1,12913.7,13035.8,4480.3,1945.3,830.9,370.0,144.0,31.9,MF,270.0
DEGENEK MILOS,22907.899999999998,8333.6,9991.800000000001,2889.7999999999997,1228.3,465.5,267.0,102.0,31.0,DF,167.0
DE JONG FRENKIE,55565.7,17430.1,26874.5,7816.1,2744.4,697.5,629.0,216.0,33.2,MF,439.0
DEMBELEOUSMANE,41220.6,15153.099999999999,15276.2,6101.6,3122.2,1566.1,523.0,254.0,35.3,FW,329.0
DENDONCKER LEANDER,21133.9,5446.799999999999,10477.4,3317.3,1528.8,364.7,281.0,100.0,32.4,DF,180.0
DE PAUL RODRIGO,73344.5,25879.3,29674.1,10336.9,5281.2,2173.8,913.0,402.0,33.4,MF,583.0
DEPAY ME MPHIS,42075.9,15100.6,18090.7,5365.5,2388.2,1129.8,522.0,222.0,32.2,FW,363.0
DE ROON MARTEN,33786.299999999996,9644.7,17748.2,4496.9,1372.6999999999998,521.3,399.0,105.0,31.0,MF,267.0
DEST SERGINO,37491.5,10682.6,18154.699999999997,4997.5,2706.9,949.5,428.0,205.0,33.9,DF,337.0
DIA BOULAYE,18974.5,6158.299999999999,8366.3,2808.3999999999996,1202.6,436.9,254.0,102.0,34.4,FW,162.0
DIALLO ABDOU,33815.2,12943.4,15437.599999999999,3550.7,1461.1,423.1,311.0,106.0,32.7,DF,332.0
DIATTA KREPIN,20901.6,6895.900000000001,9080.6,2900.9,1479.0,545.0,278.0,111.0,34.9,DF,184.0
DIOGO COSTA,18481.3,14997.5,2972.6,402.70000000000005,99.30000000000001,9.2,54.0,12.0,26.4,GK,349.0
DIOGO DALOT,28291.699999999997,11548.1,10113.1,3621.8,1908.9,1100.1,343.0,157.0,34.5,DF,270.0
DOAN RITSU,19258.300000000003,6461.3,8406.4,2876.2,1283.1,231.89999999999998,250.0,95.0,28.7,MF,150.0
DRAGER MOHAMED,16962.4,4215.6,7972.9,2887.0,1454.8,432.6,244.0,100.0,30.3,DF,136.0
DUARTE OSCAR,21003.4,7758.099999999999,10032.3,2346.3,775.5,91.30000000000001,216.0,51.0,28.5,DF,167.0
DUKE MITCHELL,34740.8,11458.5,15077.1,4749.5,2819.3,637.6,450.0,218.0,31.9,FW,294.0
DUMFRIES DENZEL,68215.2,25103.6,25355.2,9857.0,5036.8,2867.2,911.0,404.0,33.5,DF,569.0
EDER MILITAO,38740.3,15276.6,15438.6,4925.0,2038.0,1062.8,448.0,179.0,34.1,DF,358.0
ELVEDI NICO,19029.0,6834.1,9198.400000000001,1806.2,926.5999999999999,262.70000000000005,191.0,77.0,32.8,DF,154.0
EL YAMI Q JAWAD,35123.5,15784.0,12786.0,4046.1,1746.6,761.8000000000001,367.0,159.0,34.3,DF,247.0
EMBOLO BREEL,32487.3,14324.6,11067.0,4126.2,1742.9,1227.5,379.0,169.0,34.1,FW,281.0
ENDO WATARU,27233.4,8505.4,13065.6,4035.5,1348.9,280.4,357.0,108.0,30.2,MF,136.0
EN-NESYRI YOUSSEF,64656.6,19877.4,29726.1,8196.9,4801.6,2056.4,797.0,385.0,33.6,FW,588.0
ERIKSEN CHRISTIAN,36512.8,10681.7,18055.7,5644.6,1707.0,426.4,457.0,131.0,31.9,MF,270.0
ESTRADA MICHAEL,22990.800000000003,8663.2,10452.6,2537.7,1035.1,301.6,232.0,89.0,32.8,FW,228.0
ESTUPINAN PERVIS,28847.5,11663.9,9424.599999999999,3808.1,2512.3,1437.6,354.0,214.0,32.8,DF,180.0
EUSTAQUIO STEPHEN,18290.5,4533.0,7941.4,4143.0,1390.3,282.1,310.0,90.0,30.4,MF,127.0
EZATOLAHI SAEID,27335.699999999997,9420.099999999999,12546.8,4060.5,1231.4,75.5,328.0,86.0,28.2,0,173.0
